LINE, GTIN, ATC, NAME, UNIT, TYPE
76,EAN7680005000033,J06BA02,Redimune 6 g Trockensubstanz mit Solvens,6000,mg
77,EAN7680005060044,J06BB09,Cytotect CP Biotest Infusionslösung,NA,mg
78,EAN7680005060051,J06BB09,Cytotect CP Biotest Infusionslösung,NA,mg
79,EAN7680005090010,J07AL01,Pneumovax-23 Injektionslösung,NA,mg
80,EAN7680005200013,J07BL01,Stamaril suspension injectable,NA,mg
81,EAN7680005340016,J07BC01,Engerix-B 20 Injektionssuspension,NA,mg
82,EAN7680005340023,J07BC01,Engerix-B 20 Injektionssuspension,NA,mg
83,EAN7680005450012,J07BC01,HBVAXPRO 40 Injektionssuspension,NA,mg
84,EAN7680005510020,J07BC01,Engerix-B 10 Injektionssuspension,NA,mg
85,EAN7680005580054,J07BC02,Havrix 1440 Injektionssuspension,NA,mg
86,EAN7680005700025,J07AX,Ribomunyl Granulat,6.3,mg
87,EAN7680005720016,J07BC02,Epaxal Injektionssuspension,NA,mg
88,EAN7680005720023,J07BC02,Epaxal Injektionssuspension,NA,mg
89,EAN7680005830111,J07BB02,Fluarix Injektionssuspension,NA,mg
90,EAN7680005830128,J07BB02,Fluarix Injektionssuspension,NA,mg
91,EAN7680005830135,J07BB02,Fluarix Injektionssuspension,NA,mg
92,EAN7680005840073,J06BA02,Octagam 5 % Lösung zur intravenösen Anwendung,NA,mg
93,EAN7680005840080,J06BA02,Octagam 5 % Lösung zur intravenösen Anwendung,NA,mg
94,EAN7680005840097,J06BA02,Octagam 5 % Lösung zur intravenösen Anwendung,NA,mg
95,EAN7680005840103,J06BA02,Octagam 5 % Lösung zur intravenösen Anwendung,NA,mg
96,EAN7680005840110,J06BA02,Octagam 5 % Lösung zur intravenösen Anwendung,NA,mg
97,EAN7680005840127,J06BA02,Octagam 5 % Lösung zur intravenösen Anwendung,NA,mg
98,EAN7680005850010,J07BK01,Varilrix Pulver und Lösungsmittel zur Herstellung einer Injektionslösung,NA,mg
99,EAN7680005870032,J07AX,Ribomunyl Tabletten,NA,mg
100,EAN7680005920010,J07BC20,Twinrix 720/20 Injektionssuspension,NA,mg
101,EAN7680005920027,J07BC20,Twinrix 720/20 Injektionssuspension,NA,mg
102,EAN7680005960016,R07AX,Broncho-Vaxom adultes capsules,NA,mg
103,EAN7680005960023,R07AX,Broncho-Vaxom adultes capsules,NA,mg
104,EAN7680005970015,R07AX,Broncho-Vaxom enfants capsules,NA,mg
105,EAN7680005970022,R07AX,Broncho-Vaxom enfants capsules,NA,mg
106,EAN7680005980014,G04BX,Uro-Vaxom capsules,NA,mg
107,EAN7680005980021,G04BX,Uro-Vaxom capsules,NA,mg
108,EAN7680005990013,J07BC02,Havrix 720 Injektionssuspension,NA,mg
109,EAN7680006020023,B05AA,octaplasLG Lösung zur Infusion,NA,mg
110,EAN7680006020030,B05AA,octaplasLG Lösung zur Infusion,NA,mg
111,EAN7680006020047,B05AA,octaplasLG Lösung zur Infusion,NA,mg
112,EAN7680006020054,B05AA,octaplasLG Lösung zur Infusion,NA,mg
113,EAN7680006020061,B05AA,octaplasLG Lösung zur Infusion,NA,mg
114,EAN7680006020078,B05AA,octaplasLG Lösung zur Infusion,NA,mg
115,EAN7680006020085,B05AA,octaplasLG Lösung zur Infusion,NA,mg
116,EAN7680006020092,B05AA,octaplasLG Lösung zur Infusion,NA,mg
117,EAN7680006030015,J07AG01,Hiberix Lyophilisat und Lösungsmittel zur Herstellung einer Injektionslösung,NA,mg
118,EAN7680006120013,J07CA02,Tetravac suspension injectable,NA,mg
119,EAN7680006120020,J07CA02,Tetravac suspension injectable,NA,mg
120,EAN7680006130012,J07CA06,Pentavac suspension injectable et lyophilisat,NA,mg
121,EAN7680006130029,J07CA06,Pentavac suspension injectable et lyophilisat,NA,mg
122,EAN7680006140073,J07BB02,Inflexal V Injektionssuspension,NA,mg
123,EAN7680006140080,J07BB02,Inflexal V Injektionssuspension,NA,mg
124,EAN7680006150010,J07BD52,Priorix Pulver und Lösungsmittel zur Herstellung einer Injektionslösung,NA,mg
125,EAN7680006150027,J07BD52,Priorix Pulver und Lösungsmittel zur Herstellung einer Injektionslösung,NA,mg
126,EAN7680006190016,J07CA06,Infanrix DTPa-IPV+Hib Injektionssuspension,NA,mg
127,EAN7680006190023,J07CA06,Infanrix DTPa-IPV+Hib Injektionssuspension,NA,mg
128,EAN7680006270015,J07BA01,Encepur N Injektionssuspension,NA,mg
129,EAN7680006270022,J07BA01,Encepur N Injektionssuspension,NA,mg
130,EAN7680006270039,J07BA01,Encepur N Injektionssuspension,NA,mg
131,EAN7680006280014,J07BA01,Encepur N Kinder Injektionssuspension,NA,mg
132,EAN7680006280021,J07BA01,Encepur N Kinder Injektionssuspension,NA,mg
133,EAN7680006280038,J07BA01,Encepur N Kinder Injektionssuspension,NA,mg
134,EAN7680006350014,J07AX,Luivac Tabletten,NA,mg
135,EAN7680006350021,J07AX,Luivac Tabletten,NA,mg
136,EAN7680006370012,J07AJ52,Boostrix Injektionssuspension,NA,mg
137,EAN7680006370029,J07AJ52,Boostrix Injektionssuspension,NA,mg
138,EAN7680006380011,J07CA02,Infanrix DTPa-IPV Injektionssuspension,NA,mg
139,EAN7680006380028,J07CA02,Infanrix DTPa-IPV Injektionssuspension,NA,mg
140,EAN7680006400016,J07CA09,Infanrix hexa Injektionssuspension,NA,mg
141,EAN7680006400023,J07CA09,Infanrix hexa Injektionssuspension,NA,mg
142,EAN7680006410015,V04CF01,Tuberkulin PPD RT 23 SSI  2TE/0.1 ml, Injektionslösung,NA,mg
143,EAN7680006410022,V04CF01,Tuberkulin PPD RT 23 SSI  2TE/0.1 ml, Injektionslösung,NA,mg
144,EAN7680006410039,V04CF01,Tuberkulin PPD RT 23 SSI 10TE/0.1 ml, Injektionslösung,NA,mg
145,EAN7680006460010,J07CA01,Revaxis suspension injectable,NA,mg
146,EAN7680006460027,J07CA01,Revaxis suspension injectable,NA,mg
147,EAN7680006520011,J07AH04,Mencevax ACWY Trockensubstanz und Lösungsmittel,NA,mg
148,EAN7680006560017,J07AH07,NeisVac-C Injektionssuspension,NA,mg
149,EAN7680006560024,J07AH07,NeisVac-C Injektionssuspension,NA,mg
150,EAN7680006570047,J07AH07,Menjugate Trockensubstanz mit Solvens,NA,mg
151,EAN7680006570054,J07AH07,Menjugate Trockensubstanz mit Solvens,NA,mg
152,EAN7680006570061,J07AH07,Menjugate Trockensubstanz mit Solvens,NA,mg
153,EAN7680006630017,J07BC01,HBVAXPRO 10 Injektionssuspension,NA,mg
154,EAN7680006630116,J07BC01,HBVAXPRO 10 Injektionssuspension,NA,mg
155,EAN7680006630123,J07BC01,HBVAXPRO 10 Injektionssuspension,NA,mg
156,EAN7680006650015,B02BD01,Beriplex P/N 500 Pulver und Lösung zur Herstellung einer Injektionslösung,NA,mg
157,EAN7680006650022,B02BD01,Beriplex P/N 1000 Pulver und Lösung zur Herstellung einer Injektionslösung,NA,mg
158,EAN7680006660014,B02BD02,Octanate 250 IE Trockensubstanz,NA,mg
159,EAN7680006660021,B02BD02,Octanate 500 IE Trockensubstanz,NA,mg
160,EAN7680006660038,B02BD02,Octanate 1'000 IE Trockensubstanz,NA,mg
161,EAN7680006660045,B02BD02,Octanate 250 IE Trockensubstanz,NA,mg
162,EAN7680006660052,B02BD02,Octanate 500 IE Trockensubstanz,NA,mg
163,EAN7680006660069,B02BD02,Octanate 1'000 IE Trockensubstanz,NA,mg
164,EAN7680006670013,R07AX,Broncho-Vaxom enfants sachets,NA,mg
165,EAN7680006670020,R07AX,Broncho-Vaxom enfants sachets,NA,mg
166,EAN7680006670037,J07AX,Broncho-Vaxom enfants sachets,NA,mg
167,EAN7680006670044,J07AX,Broncho-Vaxom enfants sachets,NA,mg
168,EAN7680006690011,J07BF03,Poliorix Injektionslösung,NA,mg
169,EAN7680006700017,B02BC30,TachoSil Schwamm,NA,mg
170,EAN7680006700024,B02BC30,TachoSil Schwamm,NA,mg
171,EAN7680006700031,B02BC30,TachoSil Schwamm,NA,mg
172,EAN7680006700116,B02BC30,TachoSil Schwamm,NA,mg
173,EAN7680006700215,B02BC30,TachoSil Schwamm,NA,mg
174,EAN7680006710054,B02BD07,Fibrogammin 250 E. Lyophilisat zur intravenösen Anwendung,NA,mg
175,EAN7680006710061,B02BD07,Fibrogammin 1'250 E. Lyophilisat zur intravenösen Anwendung,NA,mg
176,EAN7680006730021,J06BB02,Tetagam P Injektionslösung,NA,mg
177,EAN7680006740037,J06BB04,Hepatitis-B-Immunglobulin Behring Injektionslösung,NA,mg
178,EAN7680006740044,J06BB04,Hepatitis-B-Immunglobulin Behring Injektionslösung,NA,mg
179,EAN7680006750012,J07AX,Pro-Symbioflor Suspension,NA,mg
180,EAN7680006760011,J07AX,Symbioflor 1 Suspension,NA,mg
181,EAN7680006770010,J07AX,Symbioflor 2 Suspension,NA,mg
182,EAN7680006800014,J07AX,Buccalin compresse,NA,mg
183,EAN7680006810013,J07CA02,Boostrix Polio Injektionssuspension,NA,mg
184,EAN7680006830011,J07BA01,FSME-Immun 0.25 ml Junior Suspension zur intramuskulären Injektion,NA,mg
185,EAN7680006830028,J07BA01,FSME-Immun 0.25 ml Junior Suspension zur intramuskulären Injektion,NA,mg
186,EAN7680006830035,J07BA01,FSME-Immun 0.25 ml Junior Suspension zur intramuskulären Injektion,NA,mg
187,EAN7680006830042,J07BA01,FSME-Immun 0.25 ml Junior Suspension zur intramuskulären Injektion,NA,mg
188,EAN7680006840027,A07FA,Mutaflor mite capsules,NA,mg
189,EAN7680006840058,A07FA,Mutaflor capsules,NA,mg
190,EAN7680006840065,A07FA,Mutaflor capsules,NA,mg
191,EAN7680006850019,J07BG01,Rabipur Injektionslösung,NA,mg
192,EAN7680006850033,J07BG01,Rabipur Injektionslösung,NA,mg
193,EAN7680006870031,J06BB05,Berirab 2 ml Injektionslösung,NA,mg
194,EAN7680006870048,J06BB05,Berirab 5 ml Injektionslösung,NA,mg
195,EAN7680006880016,J07BK01,Varivax Injektionssuspension,NA,mg
196,EAN7680006960015,J07AN,BCG Vaccine SSI Trockensubstanz mit Solvens,NA,mg
197,EAN7680006970014,B02AB02,Prolastin Lyophilisat pour solution pour perfusion,1000,mg
198,EAN7680006970021,B02AB02,Prolastin Lyophilisat pour solution pour perfusion,1000,mg
199,EAN7680006990036,J07BD54,ProQuad Injektionssuspension,NA,mg
200,EAN7680006990043,J07BD54,ProQuad Injektionssuspension,NA,mg
201,EAN7680007010108,J06BA01,Gammanorm Injektionslösung,NA,mg
202,EAN7680007010115,J06BA01,Gammanorm Injektionslösung,NA,mg
203,EAN7680007010122,J06BA01,Gammanorm Injektionslösung,NA,mg
204,EAN7680007010139,J06BA01,Gammanorm Injektionslösung,NA,mg
205,EAN7680007010146,J06BA01,Gammanorm Injektionslösung,NA,mg
206,EAN7680007010153,J06BA01,Gammanorm Injektionslösung,NA,mg
207,EAN7680007010160,J06BA01,Gammanorm Injektionslösung,NA,mg
208,EAN7680007010177,J06BA01,Gammanorm Injektionslösung,NA,mg
209,EAN7680007010184,J06BA01,Gammanorm Injektionslösung,NA,mg
210,EAN7680007010191,J06BA01,Gammanorm Injektionslösung,NA,mg
211,EAN7680007010207,J06BA01,Gammanorm Injektionslösung,NA,mg
212,EAN7680007010214,J06BA01,Gammanorm Injektionslösung,NA,mg
213,EAN7680007010221,J06BA01,Gammanorm Injektionslösung,NA,mg
214,EAN7680007010238,J06BA01,Gammanorm Injektionslösung,NA,mg
215,EAN7680007010245,J06BA01,Gammanorm Injektionslösung,NA,mg
216,EAN7680007010252,J06BA01,Gammanorm Injektionslösung,NA,mg
217,EAN7680007010269,J06BA01,Gammanorm Injektionslösung,NA,mg
218,EAN7680007010276,J06BA01,Gammanorm Injektionslösung,NA,mg
219,EAN7680007020015,J07AM51,Td-pur Injektionssuspension,NA,mg
220,EAN7680007020022,J07AM51,Td-pur Injektionssuspension,NA,mg
221,EAN7680007020039,J07AM51,Td-pur Injektionssuspension,NA,mg
222,EAN7680007020046,J07AM51,Td-pur Injektionssuspension,NA,mg
223,EAN7680007030014,J07BD52,M-M-RVAXPRO Lyophilisat und Lösungsmittel,NA,mg
224,EAN7680007030021,J07BD52,M-M-RVAXPRO Lyophilisat und Lösungsmittel,NA,mg
225,EAN7680007040037,J07AE01,Dukoral Suspension zum Einnehmen,NA,mg
226,EAN7680007040044,J07AE01,Dukoral Suspension zum Einnehmen,NA,mg
227,EAN7680007070010,J07AM01,Tetanol pur Injektionssuspension,NA,mg
228,EAN7680007090032,J07BK02,Zostavax Injektionssuspension,NA,mg
229,EAN7680007090049,J07BK02,Zostavax Injektionssuspension,NA,mg
230,EAN7680007110020,J07AM51,Diphtherie- und Tetanus-Adsorbatimpfstoff für Kinder Injektionssuspension,NA,mg
231,EAN7680085370118,N02BA01,Aspirin Tabletten,10000,mg
232,EAN7680085710150,A02AC10,Rennie Peppermint Lutschtabletten,NA,mg
233,EAN7680085710235,A02AC10,Rennie Peppermint Lutschtabletten,NA,mg
234,EAN7680086530016,D03AX,Hametum Salbe,NA,mg
235,EAN7680086530023,D03AX,Hametum Salbe,NA,mg
236,EAN7680086530030,D03AX,Hametum Salbe,NA,mg
237,EAN7680086530047,D03AX,Hametum Salbe,NA,mg
238,EAN7680086530054,D03AX,Hametum Salbe,NA,mg
239,EAN7680086530382,D03AX,Hametum Salbe,2187.5,mg
240,EAN7680086530467,D03AX,Hametum Salbe,3125,mg
241,EAN7680086530542,D03AX,Hametum Salbe,6250,mg
242,EAN7680086710364,N02BA01,Alka-Seltzer Brausetabletten,6480,mg
243,EAN7680089090241,A02X,Luvos Heilerde Ultra zum Einnehmen Pulver,NA,mg
244,EAN7680089100490,A02X,Luvos Heilerde 1 zum Einnehmen Pulver,NA,mg
245,EAN7680089110451,M02AX10,Luvos Heilerde 2 äusserlich Pulver für Umschläge,NA,mg
246,EAN7680089670603,D03AX,Congo Salbe,2400,mg
247,EAN7680089780180,A02AD01,Neutroses comprimés à croquer,NA,mg
248,EAN7680090920681,A13A,Wonnensteiner Kraftessenz Elixier,450,mg
249,EAN7680092320366,V03AX70,Weleda Schnupfencrème anthroposophisches Arzneimittel,NA,mg
250,EAN7680092440187,D03,Oxydermin Salbe,NA,mg
251,EAN7680093950166,A11CC05,Vi-De 3 Tropflösung,NA,mg
252,EAN7680094390138,D03AX,Zeller Balsam Salbe,NA,mg
253,EAN7680094390480,D03AX,Zeller Balsam Salbe,NA,mg
254,EAN7680094420507,A06AB56,Zeller Feigen mit Senna Sirup,NA,mg
255,EAN7680094420514,A06AB56,Zeller Feigen mit Senna Sirup,NA,mg
256,EAN7680095340163,R05,Em-eukal bonbons contre la toux,NA,mg
257,EAN7680096050108,N05CX,Künzle Nerven- und Schlaftee geschnittene Drogen,NA,mg
258,EAN7680096050450,N05CX,Künzle Nerven- und Schlaftee geschnittene Drogen,NA,mg
259,EAN7680096340100,M02AX10,Anliker Lehm äusserlich Pulver,NA,mg
260,EAN7680096340292,M02AX10,Anliker Lehm äusserlich Pulver,NA,mg
261,EAN7680099410459,R05CA10,Kernosan Meerrettich-Elixir Elixir,NA,mg
262,EAN7680099410619,R05CA10,Kernosan Meerrettich-Elixir Elixir,NA,mg
263,EAN7680100290582,C01EX,Zeller Herz und Nerven Tropfen,NA,mg
264,EAN7680100290667,C01EX,Zeller Herz und Nerven Tropfen,NA,mg
265,EAN7680100740292,A16AX,Künzle Magentee geschnittene Drogen,NA,mg
266,EAN7680100740452,A16AX,Künzle Magentee geschnittene Drogen,NA,mg
267,EAN7680100770527,R05CA10,Künzle Hustentee geschnittene Drogen,NA,mg
268,EAN7680100770794,R05CA10,Künzle Hustentee geschnittene Drogen,NA,mg
269,EAN7680100800453,R05CA10,Künzle Erkältungstee geschnittene Drogen,NA,mg
270,EAN7680101670017,R02AX,Emser Salz,NA,mg
271,EAN7680101670024,R02AX,Emser Salz,NA,mg
272,EAN7680101670031,R02AX,Emser Salz,NA,mg
273,EAN7680101670291,R02AX,Emser Salz,NA,mg
274,EAN7680101670307,R02AX,Emser Salz,NA,mg
275,EAN7680102230166,D03AX,Baume du Chalet Salbe,NA,mg
276,EAN7680102230241,D03AX,Baume du Chalet Salbe,NA,mg
277,EAN7680102650377,A05AX,Künzle Leber-Gallentee geschnittene Drogen,NA,mg
278,EAN7680102650612,A05AX,Künzle Leber-Gallentee geschnittene Drogen,NA,mg
279,EAN7680102860424,A06AB06,Darmol Abführtabletten,360,mg
280,EAN7680103680496,N02BA15,Alcacyl Tabletten,10560,mg
281,EAN7680103790171,D02AF,Lebewohl Hühneraugenpflaster,NA,mg
282,EAN7680104450197,A12CX,Flügge Kieselerde Pulver,NA,mg
283,EAN7680104450357,A12CX,Flügge Kieselerde Pulver,NA,mg
284,EAN7680105230958,A16AX,Zeller Balsam flüssig,NA,mg
285,EAN7680105231092,A16AX,Zeller Balsam flüssig,NA,mg
286,EAN7680105670174,A06AB56,Midro Tee geschnittene Drogen,NA,mg
287,EAN7680105670419,A06AB56,Midro Tee geschnittene Drogen,NA,mg
288,EAN7680105670686,A06AB56,Midro Tee geschnittene Drogen,NA,mg
289,EAN7680105740990,A02AA04,Magnesia San Pellegrino Pulver zum Einnehmen ohne Aroma,NA,mg
290,EAN7680107000276,A01AD11,Pyralvex Lösung,NA,mg
291,EAN7680107140361,S02DA30,Otalgan solution,NA,mg
292,EAN7680107510638,D05AA,Ichtholan 10% Zugsalbe Salbe,4000,mg
293,EAN7680107510713,D05AA,Ichtholan 20% Zugsalbe Salbe,8000,mg
294,EAN7680107510980,D05AA,Ichtholan 50% Zugsalbe Salbe,20000,mg
295,EAN7680107860108,A05AX,Bilifuge Tropfen,NA,mg
296,EAN7680107860290,A05AX,Bilifuge Tropfen,NA,mg
297,EAN7680107870176,A01A,Sanogencive Plan Flüssigkeit,NA,mg
298,EAN7680107870251,A01A,Sanogencive Plan Flüssigkeit,NA,mg
299,EAN7680107870336,A01A,Sanogencive Plan Flüssigkeit,NA,mg
300,EAN7680108110158,G04BX,Künzle Nieren-Blasentee geschnittene Drogen,NA,mg
301,EAN7680108110585,G04BX,Künzle Nieren-Blasentee geschnittene Drogen,NA,mg
302,EAN7680108230214,D03,Dermophil Indien Balsam-Stift,NA,mg
303,EAN7680109890271,A11DA01,Benerva soluzione iniettabile,600,mg
304,EAN7680109990223,V03AX70,Osanit Zahnen homöopathische Globuli,NA,mg
305,EAN7680110660757,M02AC,Fortalis Baume/Balsam Salbe,NA,mg
306,EAN7680110661051,M02AC,Fortalis Baume/Balsam Salbe,NA,mg
307,EAN7680112750289,A01AD11,Malvéol émulsion,NA,mg
308,EAN7680115650265,D03,Leucen Zugsalbe,NA,mg
309,EAN7680117450160,D11A,Rausch Perupomade Salbe,NA,mg
310,EAN7680117870463,V03AX70,Weleda Amara Tropfen anthroposophisches Arzneimittel,NA,mg
311,EAN7680118330126,A03AX,Kernosan Heidelberger Kräuterpulver,NA,mg
312,EAN7680118480364,A07XA51,Geli Stop Tabletten,NA,mg
313,EAN7680118790470,A12AX01,Calcium D Sauter dragées,NA,mg
314,EAN7680118790555,A12AX01,Calcium D Sauter dragées,NA,mg
315,EAN7680119090012,A11HA30,Bayer Dexpanthenol Injektionslösung,NA,mg
316,EAN7680119090289,A11HA30,Bepanthen Injektionslösung,3000,mg
317,EAN7680121750195,N03AA02,Aphenylbarbit 50 mg Tabletten,5000,mg
318,EAN7680121750515,N03AA02,Aphenylbarbit 50 mg Tabletten,1000,mg
319,EAN7680121750782,N03AA02,Aphenylbarbit 100 mg Tabletten,10000,mg
320,EAN7680121751161,N03AA02,Aphenylbarbit 100 mg Tabletten,2000,mg
321,EAN7680121752212,N03AA02,Aphenylbarbit 15 mg Tabletten,450,mg
322,EAN7680121752489,N03AA02,Aphenylbarbit 15 mg Tabletten,1500,mg
323,EAN7680123370018,A12AX01,Decalcit Kautabletten,NA,mg
324,EAN7680123370278,A12AX01,Decalcit Kautabletten,NA,mg
325,EAN7680123370285,A12AX81,Decalcit Kautabletten,NA,mg
326,EAN7680123370292,A12AX81,Decalcit Kautabletten,NA,mg
327,EAN7680123580165,A12AX01,Ossopan 200 Dragées,6000,mg
328,EAN7680123580240,A12AX01,Ossopan 200 Dragées,30000,mg
329,EAN7680125370344,D03AX,Kamillosan Liquidum,NA,mg
330,EAN7680125370429,D03AX,Kamillosan Liquidum,NA,mg
331,EAN7680125370771,D03AX,Kamillosan Liquidum,NA,mg
332,EAN7680125480012,M02AX10,Dul-X Classic Emulsion,NA,mg
333,EAN7680125480029,M02AX10,Dul-X Classic Emulsion,NA,mg
334,EAN7680125480609,M02AX10,Dul-X Classic Emulsion,NA,mg
335,EAN7680125480791,M02AX10,Dul-X Classic Emulsion,NA,mg
336,EAN7680125480876,M02AX10,Dul-X Classic Emulsion,NA,mg
337,EAN7680125490011,M02AX10,Dul-X Classic Crème,NA,mg
338,EAN7680125490325,M02AX10,Dul-X Classic Crème,NA,mg
339,EAN7680125660421,A05AX,Stago Nouvelle formule solution,NA,mg
340,EAN7680125660438,A05AX,Stago Nouvelle formule solution,NA,mg
341,EAN7680125700158,V03AX70,Blasosan homöopathische Kügelchen,NA,mg
342,EAN7680127300127,G02AB01,Methergin Injektionslösung s.c., i.m., i.v.,1,mg
343,EAN7680128030306,R05CA03,NeoCitran Hustenlöser Sirup (neue Formel),4000,mg
344,EAN7680128050410,R05CA03,NeoCitran Hustenlöser Tropfen (neue Formel),600,mg
345,EAN7680128060198,R05FA02,Resyl plus Tropfen,NA,mg
346,EAN7680128740151,R05FA02,Pectocalmine N sirop,NA,mg
347,EAN7680129900141,A09AC01,Stomacine Lösung,NA,mg
348,EAN7680129900226,A09AC01,Stomacine Lösung,NA,mg
349,EAN7680130770108,A05AX,Kernosan 24 Kräuter-Leber-Gallentabletten,NA,mg
